stime,ltime,dur,mean,sum,min,max,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,srate,drate,stcpb,dtcpb,tcprtt,synack,ackdat,label
1663634552.091580,1663634557.097400,5.005820,5.00582,5.00582,5.00582,5.00582,4,0,240,0,0,0,287.665161,0.599302,0,0,0,0,0,0,attack
1663634554.878252,1663634559.878581,5.000329,5.000329,5.000329,5.000329,5.000329,2,0,162,0,64,0,129.591476,0.199987,0,0,0,0,0,0,normal
1663634554.878286,1663634559.878611,5.000325,5.000325,5.000325,5.000325,5.000325,2,0,162,0,64,0,129.591568,0.199987,0,0,0,0,0,0,normal
1663634554.878788,1663634559.679040,4.800252,4.800252,4.800252,4.800252,4.800252,4,0,168,0,0,0,209.988983,0.624967,0,0,0,0,0,0,normal
1663634558.104964,1663634563.128902,5.023938,5.023938,5.023938,5.023938,5.023938,4,0,240,0,0,0,286.627716,0.597141,0,0,0,0,0,0,attack
1663634560.675591,1663634565.675547,4.999956,4.999956,4.999956,4.999956,4.999956,4,0,168,0,0,0,201.601776,0.600005,0,0,0,0,0,0,normal
1663634564.152935,1663634569.144992,4.992057,4.992057,4.992057,4.992057,4.992057,4,0,240,0,0,0,288.458252,0.600955,0,0,0,0,0,0,attack
1663634564.878737,1663634564.878737,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634564.878829,1663634564.878829,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634564.879342,1663634564.879482,0.000140,0.00014,0.00014,0.00014,0.00014,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634564.879368,1663634564.879570,0.000202,0.000202,0.000202,0.000202,0.000202,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634564.880140,1663634569.885424,5.005284,5.005284,5.005284,5.005284,5.005284,2,0,162,0,64,0,129.463181,0.199789,0,0,0,0,0,0,normal
1663634564.880164,1663634569.885451,5.005287,5.005287,5.005287,5.005287,5.005287,2,0,162,0,64,0,129.463104,0.199789,0,0,0,0,0,0,normal
1663634566.398932,1663634566.398932,0.000000,0,0,0,0,1,0,70,0,255,0,0,0,0,0,0,0,0,0,normal
1663634566.675581,1663634571.879561,5.203980,5.20398,5.20398,5.20398,5.20398,4,0,168,0,0,0,193.697906,0.576482,0,0,0,0,0,0,normal
1663634569.879574,1663634569.880010,0.000436,0.000436,0.000436,0.000436,0.000436,1,1,42,60,0,0,0,0,0,0,0,0,0,0,normal
1663634569.982876,1663634569.982887,0.000011,0.000011,0.000011,0.000011,0.000011,1,1,60,42,0,0,0,0,0,0,0,0,0,0,normal
